date,key,value
12/28/2014,Lincoln Chafee,0.00
01/04/2015,Lincoln Chafee,0.00
01/11/2015,Lincoln Chafee,0.00
01/18/2015,Lincoln Chafee,0.00
01/25/2015,Lincoln Chafee,0.00
02/01/2015,Lincoln Chafee,0.00
02/08/2015,Lincoln Chafee,0.00
02/15/2015,Lincoln Chafee,0.00
02/22/2015,Lincoln Chafee,0.00
03/01/2015,Lincoln Chafee,0.00
03/08/2015,Lincoln Chafee,0.00
03/15/2015,Lincoln Chafee,0.00
03/22/2015,Lincoln Chafee,0.00
03/29/2015,Lincoln Chafee,0.00
04/05/2015,Lincoln Chafee,0.49
04/12/2015,Lincoln Chafee,0.47
04/19/2015,Lincoln Chafee,0.21
04/26/2015,Lincoln Chafee,0.22
05/03/2015,Lincoln Chafee,0.17
05/10/2015,Lincoln Chafee,0.14
05/17/2015,Lincoln Chafee,0.49
05/24/2015,Lincoln Chafee,0.84
05/31/2015,Lincoln Chafee,1.19
06/07/2015,Lincoln Chafee,0.33
06/14/2015,Lincoln Chafee,0.22
06/21/2015,Lincoln Chafee,0.26
06/28/2015,Lincoln Chafee,0.21
07/05/2015,Lincoln Chafee,0.15
07/12/2015,Lincoln Chafee,0.20
07/19/2015,Lincoln Chafee,0.18
07/26/2015,Lincoln Chafee,0.14
08/02/2015,Lincoln Chafee,0.21
08/09/2015,Lincoln Chafee,0.23
08/16/2015,Lincoln Chafee,0.26
08/23/2015,Lincoln Chafee,0.22
08/30/2015,Lincoln Chafee,0.16
09/06/2015,Lincoln Chafee,0.18
09/13/2015,Lincoln Chafee,0.23
09/20/2015,Lincoln Chafee,0.19
09/27/2015,Lincoln Chafee,0.22
10/04/2015,Lincoln Chafee,0.26
10/11/2015,Lincoln Chafee,5.64
10/18/2015,Lincoln Chafee,2.42
10/25/2015,Lincoln Chafee,0.57
11/01/2015,Lincoln Chafee,0.27
11/08/2015,Lincoln Chafee,0.19
11/15/2015,Lincoln Chafee,0.17
11/22/2015,Lincoln Chafee,0.13
11/29/2015,Lincoln Chafee,0.13
12/06/2015,Lincoln Chafee,0.11
12/13/2015,Lincoln Chafee,0.13
12/20/2015,Lincoln Chafee,0.15
12/27/2015,Lincoln Chafee,0.13
01/03/2016,Lincoln Chafee,0.13
01/10/2016,Lincoln Chafee,0.13
01/17/2016,Lincoln Chafee,0.13
01/24/2016,Lincoln Chafee,0.13
01/31/2016,Lincoln Chafee,0.20
02/07/2016,Lincoln Chafee,0.15
02/14/2016,Lincoln Chafee,0.14
02/21/2016,Lincoln Chafee,0.12
02/28/2016,Lincoln Chafee,0.14
03/06/2016,Lincoln Chafee,0.13
03/13/2016,Lincoln Chafee,0.12
03/20/2016,Lincoln Chafee,0.00
03/27/2016,Lincoln Chafee,0.00
04/03/2016,Lincoln Chafee,0.00
04/10/2016,Lincoln Chafee,0.00
04/17/2016,Lincoln Chafee,0.00
04/24/2016,Lincoln Chafee,0.00
05/01/2016,Lincoln Chafee,0.00
05/08/2016,Lincoln Chafee,0.00
05/15/2016,Lincoln Chafee,0.00
05/22/2016,Lincoln Chafee,0.00
05/29/2016,Lincoln Chafee,0.00
06/05/2016,Lincoln Chafee,0.00
12/28/2014,Hillary Clinton,2.68
01/04/2015,Hillary Clinton,2.80
01/11/2015,Hillary Clinton,2.78
01/18/2015,Hillary Clinton,3.19
01/25/2015,Hillary Clinton,3.38
02/01/2015,Hillary Clinton,3.57
02/08/2015,Hillary Clinton,3.45
02/15/2015,Hillary Clinton,3.65
02/22/2015,Hillary Clinton,3.57
03/01/2015,Hillary Clinton,8.31
03/08/2015,Hillary Clinton,15.69
03/15/2015,Hillary Clinton,7.12
03/22/2015,Hillary Clinton,5.74
03/29/2015,Hillary Clinton,5.77
04/05/2015,Hillary Clinton,9.13
04/12/2015,Hillary Clinton,53.05
04/19/2015,Hillary Clinton,16.18
04/26/2015,Hillary Clinton,11.04
05/03/2015,Hillary Clinton,8.41
05/10/2015,Hillary Clinton,7.37
05/17/2015,Hillary Clinton,8.66
05/24/2015,Hillary Clinton,7.87
05/31/2015,Hillary Clinton,7.86
06/07/2015,Hillary Clinton,8.69
06/14/2015,Hillary Clinton,11.86
06/21/2015,Hillary Clinton,8.44
06/28/2015,Hillary Clinton,9.56
07/05/2015,Hillary Clinton,10.54
07/12/2015,Hillary Clinton,9.07
07/19/2015,Hillary Clinton,9.51
07/26/2015,Hillary Clinton,11.51
08/02/2015,Hillary Clinton,14.74
08/09/2015,Hillary Clinton,19.16
08/16/2015,Hillary Clinton,21.38
08/23/2015,Hillary Clinton,15.34
08/30/2015,Hillary Clinton,14.65
09/06/2015,Hillary Clinton,14.81
09/13/2015,Hillary Clinton,15.94
09/20/2015,Hillary Clinton,13.01
09/27/2015,Hillary Clinton,11.51
10/04/2015,Hillary Clinton,17.30
10/11/2015,Hillary Clinton,26.67
10/18/2015,Hillary Clinton,35.15
10/25/2015,Hillary Clinton,19.92
11/01/2015,Hillary Clinton,13.30
11/08/2015,Hillary Clinton,13.50
11/15/2015,Hillary Clinton,14.07
11/22/2015,Hillary Clinton,8.84
11/29/2015,Hillary Clinton,9.56
12/06/2015,Hillary Clinton,11.75
12/13/2015,Hillary Clinton,12.72
12/20/2015,Hillary Clinton,30.22
12/27/2015,Hillary Clinton,13.05
01/03/2016,Hillary Clinton,15.87
01/10/2016,Hillary Clinton,21.14
01/17/2016,Hillary Clinton,31.84
01/24/2016,Hillary Clinton,29.32
01/31/2016,Hillary Clinton,51.90
02/07/2016,Hillary Clinton,46.33
02/14/2016,Hillary Clinton,34.04
02/21/2016,Hillary Clinton,43.43
02/28/2016,Hillary Clinton,68.22
03/06/2016,Hillary Clinton,56.52
03/13/2016,Hillary Clinton,61.19
03/20/2016,Hillary Clinton,37.05
03/27/2016,Hillary Clinton,37.83
04/03/2016,Hillary Clinton,34.62
04/10/2016,Hillary Clinton,38.58
04/17/2016,Hillary Clinton,41.39
04/24/2016,Hillary Clinton,31.86
05/01/2016,Hillary Clinton,57.48
05/08/2016,Hillary Clinton,37.59
05/15/2016,Hillary Clinton,36.05
05/22/2016,Hillary Clinton,44.28
05/29/2016,Hillary Clinton,47.49
06/05/2016,Hillary Clinton,46.81
12/28/2014,Lawrence Lessig,0.00
01/04/2015,Lawrence Lessig,0.00
01/11/2015,Lawrence Lessig,0.00
01/18/2015,Lawrence Lessig,0.00
01/25/2015,Lawrence Lessig,0.00
02/01/2015,Lawrence Lessig,0.00
02/08/2015,Lawrence Lessig,0.00
02/15/2015,Lawrence Lessig,0.00
02/22/2015,Lawrence Lessig,0.00
03/01/2015,Lawrence Lessig,0.00
03/08/2015,Lawrence Lessig,0.00
03/15/2015,Lawrence Lessig,0.00
03/22/2015,Lawrence Lessig,0.00
03/29/2015,Lawrence Lessig,0.00
04/05/2015,Lawrence Lessig,0.00
04/12/2015,Lawrence Lessig,0.00
04/19/2015,Lawrence Lessig,0.00
04/26/2015,Lawrence Lessig,0.00
05/03/2015,Lawrence Lessig,0.00
05/10/2015,Lawrence Lessig,0.00
05/17/2015,Lawrence Lessig,0.00
05/24/2015,Lawrence Lessig,0.00
05/31/2015,Lawrence Lessig,0.00
06/07/2015,Lawrence Lessig,0.00
06/14/2015,Lawrence Lessig,0.00
06/21/2015,Lawrence Lessig,0.00
06/28/2015,Lawrence Lessig,0.00
07/05/2015,Lawrence Lessig,0.00
07/12/2015,Lawrence Lessig,0.00
07/19/2015,Lawrence Lessig,0.00
07/26/2015,Lawrence Lessig,0.00
08/02/2015,Lawrence Lessig,0.00
08/09/2015,Lawrence Lessig,0.70
08/16/2015,Lawrence Lessig,0.37
08/23/2015,Lawrence Lessig,0.30
08/30/2015,Lawrence Lessig,0.29
09/06/2015,Lawrence Lessig,1.04
09/13/2015,Lawrence Lessig,0.25
09/20/2015,Lawrence Lessig,0.26
09/27/2015,Lawrence Lessig,0.34
10/04/2015,Lawrence Lessig,0.41
10/11/2015,Lawrence Lessig,0.68
10/18/2015,Lawrence Lessig,0.48
10/25/2015,Lawrence Lessig,0.32
11/01/2015,Lawrence Lessig,0.44
11/08/2015,Lawrence Lessig,0.13
11/15/2015,Lawrence Lessig,0.00
11/22/2015,Lawrence Lessig,0.00
11/29/2015,Lawrence Lessig,0.00
12/06/2015,Lawrence Lessig,0.00
12/13/2015,Lawrence Lessig,0.00
12/20/2015,Lawrence Lessig,0.00
12/27/2015,Lawrence Lessig,0.00
01/03/2016,Lawrence Lessig,0.00
01/10/2016,Lawrence Lessig,0.00
01/17/2016,Lawrence Lessig,0.00
01/24/2016,Lawrence Lessig,0.00
01/31/2016,Lawrence Lessig,0.00
02/07/2016,Lawrence Lessig,0.12
02/14/2016,Lawrence Lessig,0.16
02/21/2016,Lawrence Lessig,0.00
02/28/2016,Lawrence Lessig,0.00
03/06/2016,Lawrence Lessig,0.00
03/13/2016,Lawrence Lessig,0.00
03/20/2016,Lawrence Lessig,0.00
03/27/2016,Lawrence Lessig,0.00
04/03/2016,Lawrence Lessig,0.00
04/10/2016,Lawrence Lessig,0.00
04/17/2016,Lawrence Lessig,0.00
04/24/2016,Lawrence Lessig,0.00
05/01/2016,Lawrence Lessig,0.00
05/08/2016,Lawrence Lessig,0.00
05/15/2016,Lawrence Lessig,0.00
05/22/2016,Lawrence Lessig,0.00
05/29/2016,Lawrence Lessig,0.00
06/05/2016,Lawrence Lessig,0.00
12/28/2014,Martin O'Malley,0.00
01/04/2015,Martin O'Malley,0.00
01/11/2015,Martin O'Malley,0.00
01/18/2015,Martin O'Malley,0.00
01/25/2015,Martin O'Malley,0.00
02/01/2015,Martin O'Malley,0.00
02/08/2015,Martin O'Malley,0.00
02/15/2015,Martin O'Malley,0.00
02/22/2015,Martin O'Malley,0.00
03/01/2015,Martin O'Malley,0.13
03/08/2015,Martin O'Malley,0.18
03/15/2015,Martin O'Malley,0.14
03/22/2015,Martin O'Malley,0.14
03/29/2015,Martin O'Malley,0.17
04/05/2015,Martin O'Malley,0.25
04/12/2015,Martin O'Malley,0.32
04/19/2015,Martin O'Malley,0.25
04/26/2015,Martin O'Malley,0.42
05/03/2015,Martin O'Malley,0.13
05/10/2015,Martin O'Malley,0.23
05/17/2015,Martin O'Malley,0.34
05/24/2015,Martin O'Malley,0.45
05/31/2015,Martin O'Malley,0.49
06/07/2015,Martin O'Malley,0.15
06/14/2015,Martin O'Malley,0.15
06/21/2015,Martin O'Malley,0.15
06/28/2015,Martin O'Malley,0.15
07/05/2015,Martin O'Malley,0.15
07/12/2015,Martin O'Malley,0.15
07/19/2015,Martin O'Malley,0.37
07/26/2015,Martin O'Malley,0.14
08/02/2015,Martin O'Malley,0.16
08/09/2015,Martin O'Malley,0.17
08/16/2015,Martin O'Malley,0.17
08/23/2015,Martin O'Malley,0.16
08/30/2015,Martin O'Malley,0.13
09/06/2015,Martin O'Malley,0.15
09/13/2015,Martin O'Malley,0.16
09/20/2015,Martin O'Malley,0.14
09/27/2015,Martin O'Malley,0.14
10/04/2015,Martin O'Malley,0.15
10/11/2015,Martin O'Malley,1.60
10/18/2015,Martin O'Malley,0.43
10/25/2015,Martin O'Malley,0.24
11/01/2015,Martin O'Malley,0.29
11/08/2015,Martin O'Malley,0.27
11/15/2015,Martin O'Malley,0.68
11/22/2015,Martin O'Malley,0.13
11/29/2015,Martin O'Malley,0.18
12/06/2015,Martin O'Malley,0.21
12/13/2015,Martin O'Malley,0.21
12/20/2015,Martin O'Malley,0.75
12/27/2015,Martin O'Malley,0.18
01/03/2016,Martin O'Malley,0.18
01/10/2016,Martin O'Malley,0.23
01/17/2016,Martin O'Malley,1.29
01/24/2016,Martin O'Malley,0.70
01/31/2016,Martin O'Malley,1.26
02/07/2016,Martin O'Malley,0.27
02/14/2016,Martin O'Malley,0.15
02/21/2016,Martin O'Malley,0.16
02/28/2016,Martin O'Malley,0.21
03/06/2016,Martin O'Malley,0.15
03/13/2016,Martin O'Malley,0.14
03/20/2016,Martin O'Malley,0.00
03/27/2016,Martin O'Malley,0.00
04/03/2016,Martin O'Malley,0.00
04/10/2016,Martin O'Malley,0.00
04/17/2016,Martin O'Malley,0.00
04/24/2016,Martin O'Malley,0.00
05/01/2016,Martin O'Malley,0.00
05/08/2016,Martin O'Malley,0.00
05/15/2016,Martin O'Malley,0.00
05/22/2016,Martin O'Malley,0.00
05/29/2016,Martin O'Malley,0.00
06/05/2016,Martin O'Malley,0.00
12/28/2014,Bernie Sanders,0.87
01/04/2015,Bernie Sanders,0.89
01/11/2015,Bernie Sanders,0.98
01/18/2015,Bernie Sanders,0.96
01/25/2015,Bernie Sanders,1.01
02/01/2015,Bernie Sanders,0.97
02/08/2015,Bernie Sanders,1.08
02/15/2015,Bernie Sanders,0.92
02/22/2015,Bernie Sanders,1.02
03/01/2015,Bernie Sanders,1.01
03/08/2015,Bernie Sanders,1.05
03/15/2015,Bernie Sanders,0.98
03/22/2015,Bernie Sanders,1.07
03/29/2015,Bernie Sanders,1.01
04/05/2015,Bernie Sanders,1.10
04/12/2015,Bernie Sanders,1.66
04/19/2015,Bernie Sanders,1.38
04/26/2015,Bernie Sanders,12.71
05/03/2015,Bernie Sanders,7.81
05/10/2015,Bernie Sanders,4.19
05/17/2015,Bernie Sanders,4.98
05/24/2015,Bernie Sanders,7.52
05/31/2015,Bernie Sanders,6.85
06/07/2015,Bernie Sanders,5.94
06/14/2015,Bernie Sanders,10.22
06/21/2015,Bernie Sanders,9.62
06/28/2015,Bernie Sanders,15.55
07/05/2015,Bernie Sanders,15.45
07/12/2015,Bernie Sanders,11.81
07/19/2015,Bernie Sanders,12.87
07/26/2015,Bernie Sanders,12.35
08/02/2015,Bernie Sanders,14.82
08/09/2015,Bernie Sanders,39.62
08/16/2015,Bernie Sanders,19.95
08/23/2015,Bernie Sanders,15.53
08/30/2015,Bernie Sanders,17.75
09/06/2015,Bernie Sanders,17.97
09/13/2015,Bernie Sanders,28.02
09/20/2015,Bernie Sanders,19.05
09/27/2015,Bernie Sanders,13.91
10/04/2015,Bernie Sanders,14.14
10/11/2015,Bernie Sanders,45.88
10/18/2015,Bernie Sanders,28.10
10/25/2015,Bernie Sanders,16.65
11/01/2015,Bernie Sanders,15.95
11/08/2015,Bernie Sanders,15.24
11/15/2015,Bernie Sanders,17.71
11/22/2015,Bernie Sanders,11.58
11/29/2015,Bernie Sanders,10.03
12/06/2015,Bernie Sanders,14.56
12/13/2015,Bernie Sanders,18.71
12/20/2015,Bernie Sanders,21.36
12/27/2015,Bernie Sanders,13.19
01/03/2016,Bernie Sanders,15.18
01/10/2016,Bernie Sanders,27.49
01/17/2016,Bernie Sanders,46.55
01/24/2016,Bernie Sanders,45.63
01/31/2016,Bernie Sanders,84.84
02/07/2016,Bernie Sanders,100.00
02/14/2016,Bernie Sanders,53.11
02/21/2016,Bernie Sanders,55.88
02/28/2016,Bernie Sanders,76.02
03/06/2016,Bernie Sanders,84.87
03/13/2016,Bernie Sanders,78.14
03/20/2016,Bernie Sanders,56.37
03/27/2016,Bernie Sanders,65.26
04/03/2016,Bernie Sanders,64.30
04/10/2016,Bernie Sanders,61.41
04/17/2016,Bernie Sanders,56.15
04/24/2016,Bernie Sanders,28.94
05/01/2016,Bernie Sanders,41.62
05/08/2016,Bernie Sanders,29.89
05/15/2016,Bernie Sanders,32.98
05/22/2016,Bernie Sanders,50.54
05/29/2016,Bernie Sanders,31.74
06/05/2016,Bernie Sanders,35.26
12/28/2014,Jim Webb,0.00
01/04/2015,Jim Webb,0.14
01/11/2015,Jim Webb,0.14
01/18/2015,Jim Webb,0.15
01/25/2015,Jim Webb,0.15
02/01/2015,Jim Webb,0.13
02/08/2015,Jim Webb,0.13
02/15/2015,Jim Webb,0.13
02/22/2015,Jim Webb,0.22
03/01/2015,Jim Webb,0.15
03/08/2015,Jim Webb,0.21
03/15/2015,Jim Webb,0.24
03/22/2015,Jim Webb,0.17
03/29/2015,Jim Webb,0.18
04/05/2015,Jim Webb,0.19
04/12/2015,Jim Webb,0.37
04/19/2015,Jim Webb,0.21
04/26/2015,Jim Webb,0.23
05/03/2015,Jim Webb,0.16
05/10/2015,Jim Webb,0.14
05/17/2015,Jim Webb,0.14
05/24/2015,Jim Webb,0.16
05/31/2015,Jim Webb,0.18
06/07/2015,Jim Webb,0.14
06/14/2015,Jim Webb,0.14
06/21/2015,Jim Webb,0.26
06/28/2015,Jim Webb,1.81
07/05/2015,Jim Webb,0.54
07/12/2015,Jim Webb,0.49
07/19/2015,Jim Webb,0.35
07/26/2015,Jim Webb,0.21
08/02/2015,Jim Webb,0.32
08/09/2015,Jim Webb,0.38
08/16/2015,Jim Webb,0.24
08/23/2015,Jim Webb,0.22
08/30/2015,Jim Webb,0.19
09/06/2015,Jim Webb,0.18
09/13/2015,Jim Webb,0.22
09/20/2015,Jim Webb,0.21
09/27/2015,Jim Webb,0.22
10/04/2015,Jim Webb,0.25
10/11/2015,Jim Webb,7.95
10/18/2015,Jim Webb,3.46
10/25/2015,Jim Webb,0.54
11/01/2015,Jim Webb,0.32
11/08/2015,Jim Webb,0.24
11/15/2015,Jim Webb,0.24
11/22/2015,Jim Webb,0.17
11/29/2015,Jim Webb,0.15
12/06/2015,Jim Webb,0.15
12/13/2015,Jim Webb,0.17
12/20/2015,Jim Webb,0.18
12/27/2015,Jim Webb,0.35
01/03/2016,Jim Webb,0.15
01/10/2016,Jim Webb,0.14
01/17/2016,Jim Webb,0.21
01/24/2016,Jim Webb,0.18
01/31/2016,Jim Webb,0.22
02/07/2016,Jim Webb,0.35
02/14/2016,Jim Webb,0.15
02/21/2016,Jim Webb,0.15
02/28/2016,Jim Webb,0.45
03/06/2016,Jim Webb,0.26
03/13/2016,Jim Webb,0.18
03/20/2016,Jim Webb,0.18
03/27/2016,Jim Webb,0.15
04/03/2016,Jim Webb,0
04/10/2016,Jim Webb,0
04/17/2016,Jim Webb,0
04/24/2016,Jim Webb,0
05/01/2016,Jim Webb,0.6
05/08/2016,Jim Webb,0
05/15/2016,Jim Webb,0
05/22/2016,Jim Webb,0
05/29/2016,Jim Webb,0
06/05/2016,Jim Webb,0
