Date,Candidate,Search interest (indexed 1-100)
Jan 1 2015,Hillary Clinton,1.28
Jan 2 2015,Hillary Clinton,1.34
Jan 3 2015,Hillary Clinton,1.48
Jan 4 2015,Hillary Clinton,1.49
Jan 5 2015,Hillary Clinton,1.36
Jan 6 2015,Hillary Clinton,1.60
Jan 7 2015,Hillary Clinton,1.43
Jan 8 2015,Hillary Clinton,1.42
Jan 9 2015,Hillary Clinton,1.41
Jan 10 2015,Hillary Clinton,1.61
Jan 11 2015,Hillary Clinton,1.38
Jan 12 2015,Hillary Clinton,1.46
Jan 13 2015,Hillary Clinton,1.59
Jan 14 2015,Hillary Clinton,1.43
Jan 15 2015,Hillary Clinton,1.54
Jan 16 2015,Hillary Clinton,1.46
Jan 17 2015,Hillary Clinton,1.48
Jan 18 2015,Hillary Clinton,1.42
Jan 19 2015,Hillary Clinton,1.21
Jan 20 2015,Hillary Clinton,1.38
Jan 21 2015,Hillary Clinton,2.33
Jan 22 2015,Hillary Clinton,1.83
Jan 23 2015,Hillary Clinton,1.83
Jan 24 2015,Hillary Clinton,1.66
Jan 25 2015,Hillary Clinton,1.77
Jan 26 2015,Hillary Clinton,1.56
Jan 27 2015,Hillary Clinton,1.50
Jan 28 2015,Hillary Clinton,1.89
Jan 29 2015,Hillary Clinton,1.90
Jan 30 2015,Hillary Clinton,2.31
Jan 31 2015,Hillary Clinton,2.00
Feb 1 2015,Hillary Clinton,1.49
Feb 2 2015,Hillary Clinton,1.46
Feb 3 2015,Hillary Clinton,2.05
Feb 4 2015,Hillary Clinton,2.02
Feb 5 2015,Hillary Clinton,2.47
Feb 6 2015,Hillary Clinton,1.94
Feb 7 2015,Hillary Clinton,1.77
Feb 8 2015,Hillary Clinton,2.02
Feb 9 2015,Hillary Clinton,1.65
Feb 10 2015,Hillary Clinton,1.78
Feb 11 2015,Hillary Clinton,2.21
Feb 12 2015,Hillary Clinton,1.97
Feb 13 2015,Hillary Clinton,1.80
Feb 14 2015,Hillary Clinton,1.57
Feb 15 2015,Hillary Clinton,1.70
Feb 16 2015,Hillary Clinton,1.75
Feb 17 2015,Hillary Clinton,2.32
Feb 18 2015,Hillary Clinton,2.17
Feb 19 2015,Hillary Clinton,1.92
Feb 20 2015,Hillary Clinton,1.94
Feb 21 2015,Hillary Clinton,1.78
Feb 22 2015,Hillary Clinton,1.87
Feb 23 2015,Hillary Clinton,1.68
Feb 24 2015,Hillary Clinton,1.81
Feb 25 2015,Hillary Clinton,2.11
Feb 26 2015,Hillary Clinton,2.11
Feb 27 2015,Hillary Clinton,1.88
Feb 28 2015,Hillary Clinton,1.72
Mar 1 2015,Hillary Clinton,2.00
Mar 2 2015,Hillary Clinton,2.27
Mar 3 2015,Hillary Clinton,5.26
Mar 4 2015,Hillary Clinton,5.54
Mar 5 2015,Hillary Clinton,6.72
Mar 6 2015,Hillary Clinton,5.07
Mar 7 2015,Hillary Clinton,4.19
Mar 8 2015,Hillary Clinton,5.39
Mar 9 2015,Hillary Clinton,5.98
Mar 10 2015,Hillary Clinton,12.69
Mar 11 2015,Hillary Clinton,11.84
Mar 12 2015,Hillary Clinton,7.84
Mar 13 2015,Hillary Clinton,8.57
Mar 14 2015,Hillary Clinton,4.85
Mar 15 2015,Hillary Clinton,4.76
Mar 16 2015,Hillary Clinton,4.24
Mar 17 2015,Hillary Clinton,5.33
Mar 18 2015,Hillary Clinton,3.66
Mar 19 2015,Hillary Clinton,3.14
Mar 20 2015,Hillary Clinton,3.10
Mar 21 2015,Hillary Clinton,2.73
Mar 22 2015,Hillary Clinton,2.66
Mar 23 2015,Hillary Clinton,3.73
Mar 24 2015,Hillary Clinton,3.47
Mar 25 2015,Hillary Clinton,2.84
Mar 26 2015,Hillary Clinton,2.43
Mar 27 2015,Hillary Clinton,2.60
Mar 28 2015,Hillary Clinton,4.08
Mar 29 2015,Hillary Clinton,3.27
Mar 30 2015,Hillary Clinton,2.62
Mar 31 2015,Hillary Clinton,3.29
Apr 1 2015,Hillary Clinton,4.33
Apr 2 2015,Hillary Clinton,2.73
Apr 3 2015,Hillary Clinton,2.65
Apr 4 2015,Hillary Clinton,2.34
Apr 5 2015,Hillary Clinton,2.22
Apr 6 2015,Hillary Clinton,2.90
Apr 7 2015,Hillary Clinton,3.38
Apr 8 2015,Hillary Clinton,3.11
Apr 9 2015,Hillary Clinton,3.33
Apr 10 2015,Hillary Clinton,9.23
Apr 11 2015,Hillary Clinton,10.49
Apr 12 2015,Hillary Clinton,56.96
Apr 13 2015,Hillary Clinton,53.81
Apr 14 2015,Hillary Clinton,32.45
Apr 15 2015,Hillary Clinton,20.35
Apr 16 2015,Hillary Clinton,14.81
Apr 17 2015,Hillary Clinton,11.74
Apr 18 2015,Hillary Clinton,9.58
Apr 19 2015,Hillary Clinton,9.66
Apr 20 2015,Hillary Clinton,9.36
Apr 21 2015,Hillary Clinton,8.58
Apr 22 2015,Hillary Clinton,7.57
Apr 23 2015,Hillary Clinton,9.13
Apr 24 2015,Hillary Clinton,8.61
Apr 25 2015,Hillary Clinton,7.41
Apr 26 2015,Hillary Clinton,7.29
Apr 27 2015,Hillary Clinton,6.15
Apr 28 2015,Hillary Clinton,6.27
Apr 29 2015,Hillary Clinton,6.40
Apr 30 2015,Hillary Clinton,6.51
May 1 2015,Hillary Clinton,5.08
May 2 2015,Hillary Clinton,3.70
May 3 2015,Hillary Clinton,3.68
May 4 2015,Hillary Clinton,4.80
May 5 2015,Hillary Clinton,4.88
May 6 2015,Hillary Clinton,5.16
May 7 2015,Hillary Clinton,4.71
May 8 2015,Hillary Clinton,4.09
May 9 2015,Hillary Clinton,4.04
May 10 2015,Hillary Clinton,4.33
May 11 2015,Hillary Clinton,3.84
May 12 2015,Hillary Clinton,4.10
May 13 2015,Hillary Clinton,3.80
May 14 2015,Hillary Clinton,3.79
May 15 2015,Hillary Clinton,3.92
May 16 2015,Hillary Clinton,3.71
May 17 2015,Hillary Clinton,4.00
May 18 2015,Hillary Clinton,3.81
May 19 2015,Hillary Clinton,5.30
May 20 2015,Hillary Clinton,4.91
May 21 2015,Hillary Clinton,4.97
May 22 2015,Hillary Clinton,4.97
May 23 2015,Hillary Clinton,4.28
May 24 2015,Hillary Clinton,3.38
May 25 2015,Hillary Clinton,3.00
May 26 2015,Hillary Clinton,3.58
May 27 2015,Hillary Clinton,4.29
May 28 2015,Hillary Clinton,4.63
May 29 2015,Hillary Clinton,6.08
May 30 2015,Hillary Clinton,4.28
May 31 2015,Hillary Clinton,4.40
Jun 1 2015,Hillary Clinton,4.20
Jun 2 2015,Hillary Clinton,4.80
Jun 3 2015,Hillary Clinton,4.17
Jun 4 2015,Hillary Clinton,4.41
Jun 5 2015,Hillary Clinton,4.21
Jun 6 2015,Hillary Clinton,3.34
Jun 7 2015,Hillary Clinton,3.50
Jun 8 2015,Hillary Clinton,3.25
Jun 9 2015,Hillary Clinton,3.22
Jun 10 2015,Hillary Clinton,4.23
Jun 11 2015,Hillary Clinton,3.75
Jun 12 2015,Hillary Clinton,4.99
Jun 13 2015,Hillary Clinton,10.92
Jun 14 2015,Hillary Clinton,9.13
Jun 15 2015,Hillary Clinton,6.52
Jun 16 2015,Hillary Clinton,6.86
Jun 17 2015,Hillary Clinton,5.73
Jun 18 2015,Hillary Clinton,5.11
Jun 19 2015,Hillary Clinton,6.27
Jun 20 2015,Hillary Clinton,4.89
Jun 21 2015,Hillary Clinton,4.14
Jun 22 2015,Hillary Clinton,3.81
Jun 23 2015,Hillary Clinton,4.14
Jun 24 2015,Hillary Clinton,4.36
Jun 25 2015,Hillary Clinton,4.79
Jun 26 2015,Hillary Clinton,5.32
Jun 27 2015,Hillary Clinton,4.78
Jun 28 2015,Hillary Clinton,4.46
Jun 29 2015,Hillary Clinton,4.36
Jun 30 2015,Hillary Clinton,4.80
Jul 1 2015,Hillary Clinton,5.50
Jul 2 2015,Hillary Clinton,5.43
Jul 3 2015,Hillary Clinton,6.59
Jul 4 2015,Hillary Clinton,5.37
Jul 5 2015,Hillary Clinton,6.02
Jul 6 2015,Hillary Clinton,4.98
Jul 7 2015,Hillary Clinton,6.49
Jul 8 2015,Hillary Clinton,7.09
Jul 9 2015,Hillary Clinton,5.89
Jul 10 2015,Hillary Clinton,4.92
Jul 11 2015,Hillary Clinton,4.20
Jul 12 2015,Hillary Clinton,4.49
Jul 13 2015,Hillary Clinton,5.37
Jul 14 2015,Hillary Clinton,5.29
Jul 15 2015,Hillary Clinton,4.38
Jul 16 2015,Hillary Clinton,4.86
Jul 17 2015,Hillary Clinton,4.43
Jul 18 2015,Hillary Clinton,4.80
Jul 19 2015,Hillary Clinton,4.54
Jul 20 2015,Hillary Clinton,4.08
Jul 21 2015,Hillary Clinton,4.38
Jul 22 2015,Hillary Clinton,4.61
Jul 23 2015,Hillary Clinton,4.72
Jul 24 2015,Hillary Clinton,7.39
Jul 25 2015,Hillary Clinton,6.47
Jul 26 2015,Hillary Clinton,6.33
Jul 27 2015,Hillary Clinton,5.61
Jul 28 2015,Hillary Clinton,5.78
Jul 29 2015,Hillary Clinton,5.85
Jul 30 2015,Hillary Clinton,5.56
Jul 31 2015,Hillary Clinton,7.13
