key,value,date
Hillary Clinton,1.28,01/1/15
Hillary Clinton,1.34,01/2/15
Hillary Clinton,1.48,01/3/15
Hillary Clinton,1.49,01/4/15
Hillary Clinton,1.36,01/5/15
Hillary Clinton,1.6,01/6/15
Hillary Clinton,1.43,01/7/15
Hillary Clinton,1.42,01/8/15
Hillary Clinton,1.41,01/9/15
Hillary Clinton,1.61,01/10/15
Hillary Clinton,1.38,01/11/15
Hillary Clinton,1.46,01/12/15
Hillary Clinton,1.59,01/13/15
Hillary Clinton,1.43,01/14/15
Hillary Clinton,1.54,01/15/15
Hillary Clinton,1.46,01/16/15
Hillary Clinton,1.48,01/17/15
Hillary Clinton,1.42,01/18/15
Hillary Clinton,1.21,01/19/15
Hillary Clinton,1.38,01/20/15
Hillary Clinton,2.33,01/21/15
Hillary Clinton,1.83,01/22/15
Hillary Clinton,1.83,01/23/15
Hillary Clinton,1.66,01/24/15
Hillary Clinton,1.77,01/25/15
Hillary Clinton,1.56,01/26/15
Hillary Clinton,1.5,01/27/15
Hillary Clinton,1.89,01/28/15
Hillary Clinton,1.9,01/29/15
Hillary Clinton,2.31,01/30/15
Hillary Clinton,2,01/31/15
Hillary Clinton,1.49,02/1/15
Hillary Clinton,1.46,02/2/15
Hillary Clinton,2.05,02/3/15
Hillary Clinton,2.02,02/4/15
Hillary Clinton,2.47,02/5/15
Hillary Clinton,1.94,02/6/15
Hillary Clinton,1.77,02/7/15
Hillary Clinton,2.02,02/8/15
Hillary Clinton,1.65,02/9/15
Hillary Clinton,1.78,02/10/15
Hillary Clinton,2.21,02/11/15
Hillary Clinton,1.97,02/12/15
Hillary Clinton,1.8,02/13/15
Hillary Clinton,1.57,02/14/15
Hillary Clinton,1.7,02/15/15
Hillary Clinton,1.75,02/16/15
Hillary Clinton,2.32,02/17/15
Hillary Clinton,2.17,02/18/15
Hillary Clinton,1.92,02/19/15
Hillary Clinton,1.94,02/20/15
Hillary Clinton,1.78,02/21/15
Hillary Clinton,1.87,02/22/15
Hillary Clinton,1.68,02/23/15
Hillary Clinton,1.81,02/24/15
Hillary Clinton,2.11,02/25/15
Hillary Clinton,2.11,02/26/15
Hillary Clinton,1.88,02/27/15
Hillary Clinton,1.72,02/28/15
Hillary Clinton,2,03/1/15
Hillary Clinton,2.27,03/2/15
