date,key,value
12/28/14,Lincoln Chafee,0
01/04/15,Lincoln Chafee,0
01/11/15,Lincoln Chafee,0
01/18/15,Lincoln Chafee,0
01/25/15,Lincoln Chafee,0
02/01/15,Lincoln Chafee,0
02/08/15,Lincoln Chafee,0
02/15/15,Lincoln Chafee,0
02/22/15,Lincoln Chafee,0
03/01/15,Lincoln Chafee,0
03/08/15,Lincoln Chafee,0
03/15/15,Lincoln Chafee,0
03/22/15,Lincoln Chafee,0
03/29/15,Lincoln Chafee,0
04/05/15,Lincoln Chafee,0.492093627
04/12/15,Lincoln Chafee,0.466242143
04/19/15,Lincoln Chafee,0.208753003
04/26/15,Lincoln Chafee,0.218855758
05/03/15,Lincoln Chafee,0.170826072
05/10/15,Lincoln Chafee,0.143548041
05/17/15,Lincoln Chafee,0.491740317
05/24/15,Lincoln Chafee,0.839932594
05/31/15,Lincoln Chafee,1.188124877
06/07/15,Lincoln Chafee,0.326952028
06/14/15,Lincoln Chafee,0.224980782
06/21/15,Lincoln Chafee,0.264351972
06/28/15,Lincoln Chafee,0.2148102
07/05/15,Lincoln Chafee,0.15335335
07/12/15,Lincoln Chafee,0.198353918
07/19/15,Lincoln Chafee,0.178503789
07/26/15,Lincoln Chafee,0.139349054
08/02/15,Lincoln Chafee,0.205473979
08/09/15,Lincoln Chafee,0.227895732
08/16/15,Lincoln Chafee,0.257868288
08/23/15,Lincoln Chafee,0.2212302
08/30/15,Lincoln Chafee,0.159351998
09/06/15,Lincoln Chafee,0.182316344
09/13/15,Lincoln Chafee,0.231403056
09/20/15,Lincoln Chafee,0.194135315
09/27/15,Lincoln Chafee,0.22165954
10/04/15,Lincoln Chafee,0.261699888
10/11/15,Lincoln Chafee,5.637733452
10/18/15,Lincoln Chafee,2.421518449
10/25/15,Lincoln Chafee,0.573114091
11/01/15,Lincoln Chafee,0.273320387
11/08/15,Lincoln Chafee,0.186634319
11/15/15,Lincoln Chafee,0.169468195
11/22/15,Lincoln Chafee,0.129916022
11/29/15,Lincoln Chafee,0.129916022
12/06/15,Lincoln Chafee,0.113919872
12/13/15,Lincoln Chafee,0.125028498
12/20/15,Lincoln Chafee,0.147573439
12/27/15,Lincoln Chafee,0.128795013
01/03/16,Lincoln Chafee,0.128795013
01/10/16,Lincoln Chafee,0.128795013
01/17/16,Lincoln Chafee,0.128795013
01/24/16,Lincoln Chafee,0.131669768
01/31/16,Lincoln Chafee,0.19521991
02/07/16,Lincoln Chafee,0.147483952
