date,key,value
12/28/2014,Jeb Bush,2.22
01/04/2015,Jeb Bush,1.26
01/11/2015,Jeb Bush,1.10
01/18/2015,Jeb Bush,1.05
01/25/2015,Jeb Bush,1.54
02/01/2015,Jeb Bush,1.42
02/08/2015,Jeb Bush,1.33
02/15/2015,Jeb Bush,1.89
02/22/2015,Jeb Bush,2.37
03/01/2015,Jeb Bush,1.34
03/08/2015,Jeb Bush,1.16
03/15/2015,Jeb Bush,1.04
03/22/2015,Jeb Bush,1.34
03/29/2015,Jeb Bush,0.92
04/05/2015,Jeb Bush,1.78
04/12/2015,Jeb Bush,2.62
04/19/2015,Jeb Bush,1.53
04/26/2015,Jeb Bush,1.23
05/03/2015,Jeb Bush,1.25
05/10/2015,Jeb Bush,3.05
05/17/2015,Jeb Bush,1.71
05/24/2015,Jeb Bush,1.11
05/31/2015,Jeb Bush,1.30
06/07/2015,Jeb Bush,1.83
06/14/2015,Jeb Bush,13.48
06/21/2015,Jeb Bush,2.87
06/28/2015,Jeb Bush,2.70
07/05/2015,Jeb Bush,4.35
07/12/2015,Jeb Bush,2.48
07/19/2015,Jeb Bush,2.05
07/26/2015,Jeb Bush,2.07
08/02/2015,Jeb Bush,6.24
08/09/2015,Jeb Bush,3.31
08/16/2015,Jeb Bush,3.08
08/23/2015,Jeb Bush,3.80
08/30/2015,Jeb Bush,3.36
09/06/2015,Jeb Bush,3.58
09/13/2015,Jeb Bush,9.34
09/20/2015,Jeb Bush,3.28
09/27/2015,Jeb Bush,2.99
10/04/2015,Jeb Bush,1.97
10/11/2015,Jeb Bush,2.18
10/18/2015,Jeb Bush,2.77
10/25/2015,Jeb Bush,6.10
11/01/2015,Jeb Bush,4.55
11/08/2015,Jeb Bush,3.28
11/15/2015,Jeb Bush,2.18
11/22/2015,Jeb Bush,1.40
11/29/2015,Jeb Bush,1.46
12/06/2015,Jeb Bush,3.06
12/13/2015,Jeb Bush,4.69
12/20/2015,Jeb Bush,2.69
12/27/2015,Jeb Bush,2.17
01/03/2016,Jeb Bush,2.49
01/10/2016,Jeb Bush,2.88
01/17/2016,Jeb Bush,2.77
01/24/2016,Jeb Bush,3.30
01/31/2016,Jeb Bush,6.09
02/07/2016,Jeb Bush,7.19
02/14/2016,Jeb Bush,27.27
02/21/2016,Jeb Bush,16.69
02/28/2016,Jeb Bush,3.46
03/06/2016,Jeb Bush,2.42
03/13/2016,Jeb Bush,1.89
03/20/2016,Jeb Bush,1.49
03/27/2016,Jeb Bush,0.97
04/03/2016,Jeb Bush,0.81
04/10/2016,Jeb Bush,0.70
04/17/2016,Jeb Bush,0.77
04/24/2016,Jeb Bush,1.03
05/01/2016,Jeb Bush,1.74
05/08/2016,Jeb Bush,0.74
05/15/2016,Jeb Bush,0.66
05/22/2016,Jeb Bush,1.42
05/29/2016,Jeb Bush,1.34
12/28/2014,Ben Carson,0.87
01/04/2015,Ben Carson,0.86
01/11/2015,Ben Carson,0.98
01/18/2015,Ben Carson,1.05
01/25/2015,Ben Carson,1.35
02/01/2015,Ben Carson,1.33
02/08/2015,Ben Carson,1.77
02/15/2015,Ben Carson,1.24
02/22/2015,Ben Carson,1.64
03/01/2015,Ben Carson,3.83
03/08/2015,Ben Carson,1.51
03/15/2015,Ben Carson,1.00
03/22/2015,Ben Carson,1.25
03/29/2015,Ben Carson,0.79
04/05/2015,Ben Carson,1.00
04/12/2015,Ben Carson,1.60
04/19/2015,Ben Carson,1.04
04/26/2015,Ben Carson,1.12
05/03/2015,Ben Carson,8.74
05/10/2015,Ben Carson,2.46
05/17/2015,Ben Carson,1.57
05/24/2015,Ben Carson,1.58
05/31/2015,Ben Carson,1.29
06/07/2015,Ben Carson,1.25
06/14/2015,Ben Carson,1.83
06/21/2015,Ben Carson,1.76
06/28/2015,Ben Carson,0.00
07/05/2015,Ben Carson,1.39
07/12/2015,Ben Carson,1.40
07/19/2015,Ben Carson,1.46
07/26/2015,Ben Carson,1.53
08/02/2015,Ben Carson,11.19
08/09/2015,Ben Carson,6.65
08/16/2015,Ben Carson,4.96
08/23/2015,Ben Carson,4.35
08/30/2015,Ben Carson,8.78
09/06/2015,Ben Carson,8.00
09/13/2015,Ben Carson,14.29
09/20/2015,Ben Carson,10.74
09/27/2015,Ben Carson,7.16
10/04/2015,Ben Carson,11.72
10/11/2015,Ben Carson,9.01
10/18/2015,Ben Carson,8.28
10/25/2015,Ben Carson,17.71
11/01/2015,Ben Carson,21.81
11/08/2015,Ben Carson,21.09
11/15/2015,Ben Carson,10.01
11/22/2015,Ben Carson,7.09
11/29/2015,Ben Carson,4.78
12/06/2015,Ben Carson,4.96
12/13/2015,Ben Carson,5.49
12/20/2015,Ben Carson,3.37
12/27/2015,Ben Carson,3.27
01/03/2016,Ben Carson,3.25
01/10/2016,Ben Carson,3.55
01/17/2016,Ben Carson,4.25
01/24/2016,Ben Carson,3.89
01/31/2016,Ben Carson,7.01
02/07/2016,Ben Carson,7.29
02/14/2016,Ben Carson,5.51
02/21/2016,Ben Carson,9.27
02/28/2016,Ben Carson,14.38
03/06/2016,Ben Carson,9.01
03/13/2016,Ben Carson,4.80
03/20/2016,Ben Carson,2.29
03/27/2016,Ben Carson,1.47
04/03/2016,Ben Carson,1.37
04/10/2016,Ben Carson,2.01
04/17/2016,Ben Carson,2.33
04/24/2016,Ben Carson,1.10
05/01/2016,Ben Carson,1.68
05/08/2016,Ben Carson,1.00
05/15/2016,Ben Carson,0.92
05/22/2016,Ben Carson,0.78
05/29/2016,Ben Carson,0.69
12/28/2014,Chris Christie,0.36
01/04/2015,Chris Christie,4.35
01/11/2015,Chris Christie,1.77
01/18/2015,Chris Christie,0.55
01/25/2015,Chris Christie,1.20
02/01/2015,Chris Christie,1.53
02/08/2015,Chris Christie,0.67
02/15/2015,Chris Christie,0.54
02/22/2015,Chris Christie,0.89
03/01/2015,Chris Christie,0.67
03/08/2015,Chris Christie,0.60
03/15/2015,Chris Christie,0.47
03/22/2015,Chris Christie,0.53
03/29/2015,Chris Christie,0.53
04/05/2015,Chris Christie,0.54
04/12/2015,Chris Christie,1.54
04/19/2015,Chris Christie,1.09
04/26/2015,Chris Christie,0.93
05/03/2015,Chris Christie,0.81
05/10/2015,Chris Christie,1.00
05/17/2015,Chris Christie,0.70
05/24/2015,Chris Christie,0.64
05/31/2015,Chris Christie,1.76
06/07/2015,Chris Christie,1.70
06/14/2015,Chris Christie,1.15
06/21/2015,Chris Christie,1.02
06/28/2015,Chris Christie,4.83
07/05/2015,Chris Christie,1.25
07/12/2015,Chris Christie,0.77
07/19/2015,Chris Christie,0.83
07/26/2015,Chris Christie,0.98
08/02/2015,Chris Christie,4.36
08/09/2015,Chris Christie,1.37
08/16/2015,Chris Christie,0.87
08/23/2015,Chris Christie,1.08
08/30/2015,Chris Christie,1.39
09/06/2015,Chris Christie,0.86
09/13/2015,Chris Christie,2.92
09/20/2015,Chris Christie,1.31
09/27/2015,Chris Christie,1.15
10/04/2015,Chris Christie,0.70
10/11/2015,Chris Christie,0.66
10/18/2015,Chris Christie,0.66
10/25/2015,Chris Christie,2.30
11/01/2015,Chris Christie,2.09
11/08/2015,Chris Christie,1.74
11/15/2015,Chris Christie,1.15
11/22/2015,Chris Christie,0.69
11/29/2015,Chris Christie,1.01
12/06/2015,Chris Christie,0.78
12/13/2015,Chris Christie,2.28
12/20/2015,Chris Christie,1.09
12/27/2015,Chris Christie,0.74
01/03/2016,Chris Christie,0.99
01/10/2016,Chris Christie,1.69
01/17/2016,Chris Christie,1.77
01/24/2016,Chris Christie,2.72
01/31/2016,Chris Christie,2.32
02/07/2016,Chris Christie,9.29
02/14/2016,Chris Christie,1.66
02/21/2016,Chris Christie,4.93
02/28/2016,Chris Christie,10.98
03/06/2016,Chris Christie,2.20
03/13/2016,Chris Christie,1.84
03/20/2016,Chris Christie,0.89
03/27/2016,Chris Christie,1.06
04/03/2016,Chris Christie,1.53
04/10/2016,Chris Christie,0.56
04/17/2016,Chris Christie,0.50
