date,Candidate,search interest (indexed 1-100),
Jan 1 2015,Jeb Bush,2.04,
Jan 2 2015,Jeb Bush,1.68,
Jan 3 2015,Jeb Bush,1.16,
Jan 4 2015,Jeb Bush,0.86,
Jan 5 2015,Jeb Bush,0.72,
Jan 6 2015,Jeb Bush,1.37,
Jan 7 2015,Jeb Bush,1.07,
Jan 8 2015,Jeb Bush,0.67,
Jan 9 2015,Jeb Bush,0.73,
Jan 10 2015,Jeb Bush,1.17,
Jan 11 2015,Jeb Bush,1.12,
Jan 12 2015,Jeb Bush,0.73,
Jan 13 2015,Jeb Bush,0.83,
Jan 14 2015,Jeb Bush,0.98,
Jan 15 2015,Jeb Bush,0.70,
Jan 16 2015,Jeb Bush,0.58,
Jan 17 2015,Jeb Bush,0.66,
Jan 18 2015,Jeb Bush,0.77,
Jan 19 2015,Jeb Bush,0.55,
Jan 20 2015,Jeb Bush,0.52,
Jan 21 2015,Jeb Bush,0.72,
Jan 22 2015,Jeb Bush,1.02,
Jan 23 2015,Jeb Bush,0.98,
Jan 24 2015,Jeb Bush,0.97,
Jan 25 2015,Jeb Bush,0.90,
Jan 26 2015,Jeb Bush,0.54,
Jan 27 2015,Jeb Bush,0.51,
Jan 28 2015,Jeb Bush,0.64,
Jan 29 2015,Jeb Bush,0.84,
Jan 30 2015,Jeb Bush,2.15,
Jan 31 2015,Jeb Bush,2.45,
Feb 1 2015,Jeb Bush,1.64,
Feb 2 2015,Jeb Bush,0.76,
Feb 3 2015,Jeb Bush,1.27,
Feb 4 2015,Jeb Bush,1.09,
Feb 5 2015,Jeb Bush,1.20,
Feb 6 2015,Jeb Bush,0.91,
Feb 7 2015,Jeb Bush,0.61,
Feb 8 2015,Jeb Bush,0.72,
Feb 9 2015,Jeb Bush,0.67,
Feb 10 2015,Jeb Bush,1.21,
Feb 11 2015,Jeb Bush,1.33,
Feb 12 2015,Jeb Bush,1.10,
Feb 13 2015,Jeb Bush,0.76,
Feb 14 2015,Jeb Bush,0.83,
Feb 15 2015,Jeb Bush,1.38,
Feb 16 2015,Jeb Bush,0.81,
Feb 17 2015,Jeb Bush,0.64,
Feb 18 2015,Jeb Bush,1.92,
Feb 19 2015,Jeb Bush,2.19,
Feb 20 2015,Jeb Bush,1.24,
Feb 21 2015,Jeb Bush,1.47,
Feb 22 2015,Jeb Bush,1.94,
Feb 23 2015,Jeb Bush,1.31,
Feb 24 2015,Jeb Bush,1.35,
Feb 25 2015,Jeb Bush,0.94,
Feb 26 2015,Jeb Bush,0.90,
Feb 27 2015,Jeb Bush,3.18,
Feb 28 2015,Jeb Bush,2.77,
Mar 1 2015,Jeb Bush,1.49,
Mar 2 2015,Jeb Bush,1.13,
Mar 3 2015,Jeb Bush,0.94,
Mar 4 2015,Jeb Bush,0.75,
Mar 5 2015,Jeb Bush,0.86,
Mar 6 2015,Jeb Bush,0.79,
Mar 7 2015,Jeb Bush,1.04,
Mar 8 2015,Jeb Bush,1.29,
Mar 9 2015,Jeb Bush,0.90,
Mar 10 2015,Jeb Bush,0.94,
Mar 11 2015,Jeb Bush,0.78,
Mar 12 2015,Jeb Bush,0.58,
Mar 13 2015,Jeb Bush,0.74,
Mar 14 2015,Jeb Bush,0.91,
Mar 15 2015,Jeb Bush,0.96,
Mar 16 2015,Jeb Bush,0.76,
Mar 17 2015,Jeb Bush,0.68,
Mar 18 2015,Jeb Bush,0.93,
Mar 19 2015,Jeb Bush,0.78,
Mar 20 2015,Jeb Bush,0.73,
Mar 21 2015,Jeb Bush,0.63,
Mar 22 2015,Jeb Bush,1.09,
Mar 23 2015,Jeb Bush,1.37,
Mar 24 2015,Jeb Bush,1.13,
Mar 25 2015,Jeb Bush,1.02,
Mar 26 2015,Jeb Bush,0.84,
Mar 27 2015,Jeb Bush,0.72,
Mar 28 2015,Jeb Bush,0.67,
Mar 29 2015,Jeb Bush,0.77,
Mar 30 2015,Jeb Bush,0.59,
Mar 31 2015,Jeb Bush,0.77,
Apr 1 2015,Jeb Bush,0.75,
Apr 2 2015,Jeb Bush,0.77,
Apr 3 2015,Jeb Bush,0.56,
Apr 4 2015,Jeb Bush,0.60,
Apr 5 2015,Jeb Bush,0.65,
Apr 6 2015,Jeb Bush,2.31,
Apr 7 2015,Jeb Bush,2.11,
Apr 8 2015,Jeb Bush,1.05,
Apr 9 2015,Jeb Bush,0.84,
Apr 10 2015,Jeb Bush,0.87,
Apr 11 2015,Jeb Bush,0.87,
Apr 12 2015,Jeb Bush,1.79,
Apr 13 2015,Jeb Bush,3.06,
Apr 14 2015,Jeb Bush,2.68,
Apr 15 2015,Jeb Bush,1.59,
Apr 16 2015,Jeb Bush,1.28,
Apr 17 2015,Jeb Bush,1.60,
