key,value,date
Jeb Bush,2.195303696,Dec 28 2014
Jeb Bush,1.289405265,Jan 04 2015
Jeb Bush,1.1102877,Jan 11 2015
Jeb Bush,1.063721394,Jan 18 2015
Jeb Bush,1.569202272,Jan 25 2015
Jeb Bush,1.443084241,Feb 01 2015
Jeb Bush,1.333099181,Feb 08 2015
Jeb Bush,1.910255467,Feb 15 2015
Jeb Bush,2.360717379,Feb 22 2015
Jeb Bush,1.340220222,Mar 01 2015
Jeb Bush,1.168426777,Mar 08 2015
Jeb Bush,1.091406029,Mar 15 2015
Jeb Bush,1.347368896,Mar 22 2015
Jeb Bush,0.911088498,Mar 29 2015
Jeb Bush,1.770749475,Apr 05 2015
Jeb Bush,2.637736371,Apr 12 2015
Jeb Bush,1.532462154,Apr 19 2015
Jeb Bush,1.295271854,Apr 26 2015
Jeb Bush,1.291363963,May 03 2015
Jeb Bush,3.089371445,May 10 2015
Jeb Bush,1.748010906,May 17 2015
Jeb Bush,1.084298569,May 24 2015
Jeb Bush,1.349742852,May 31 2015
Jeb Bush,1.816681588,Jun 07 2015
Jeb Bush,13.59897382,Jun 14 2015
Jeb Bush,2.850637544,Jun 21 2015
Jeb Bush,2.69047424,Jun 28 2015
Jeb Bush,4.346872946,Jul 05 2015
Jeb Bush,2.471968512,Jul 12 2015
Jeb Bush,2.031423553,Jul 19 2015
Jeb Bush,2.06295041,Jul 26 2015
Jeb Bush,6.322732251,Aug 02 2015
Jeb Bush,3.385269545,Aug 09 2015
Jeb Bush,3.10191556,Aug 16 2015
Jeb Bush,3.796418203,Aug 23 2015
Jeb Bush,3.345974577,Aug 30 2015
Jeb Bush,3.650915267,Sep 06 2015
Jeb Bush,9.462005021,Sep 13 2015
Jeb Bush,3.313484152,Sep 20 2015
Jeb Bush,2.913537752,Sep 27 2015
Jeb Bush,2.064688299,Oct 04 2015
Jeb Bush,2.233450561,Oct 11 2015
Jeb Bush,2.815120961,Oct 18 2015
Jeb Bush,6.119237928,Oct 25 2015
Jeb Bush,4.528854756,Nov 01 2015
Jeb Bush,3.318110378,Nov 08 2015
Jeb Bush,2.236209819,Nov 15 2015
Jeb Bush,1.392746894,Nov 22 2015
Jeb Bush,1.509132583,Nov 29 2015
Jeb Bush,3.113429611,Dec 06 2015
Jeb Bush,4.653954242,Dec 13 2015
Jeb Bush,2.71560574,Dec 20 2015
Jeb Bush,2.177473634,Dec 27 2015
Jeb Bush,2.519847484,Jan 03 2016
Jeb Bush,2.880424253,Jan 10 2016
Jeb Bush,2.759424062,Jan 17 2016
Jeb Bush,3.391854304,Jan 24 2016
Jeb Bush,6.11062641,Jan 31 2016
Jeb Bush,7.293122777,Feb 07 2016
Jeb Bush,27.41735715,Feb 14 2016
Jeb Bush,16.8009057,Feb 21 2016
Jeb Bush,3.489972787,Feb 28 2016
Jeb Bush,2.502803338,Mar 06 2016
Jeb Bush,1.923369639,Mar 13 2016
Jeb Bush,1.526661827,Mar 20 2016
Jeb Bush,1.312441153,Mar 27 2016
Ben Carson,0.923516352,Dec 28 2014
Ben Carson,0.856213809,Jan 04 2015
Ben Carson,0.995259281,Jan 11 2015
Ben Carson,1.054105569,Jan 18 2015
Ben Carson,1.357555509,Jan 25 2015
Ben Carson,1.308238212,Feb 01 2015
Ben Carson,1.775836765,Feb 08 2015
Ben Carson,1.258911222,Feb 15 2015
Ben Carson,1.665188266,Feb 22 2015
Ben Carson,3.840259714,Mar 01 2015
Ben Carson,1.535055671,Mar 08 2015
Ben Carson,1.03198021,Mar 15 2015
Ben Carson,1.284329569,Mar 22 2015
Ben Carson,0.800976618,Mar 29 2015
Ben Carson,1.017955445,Apr 05 2015
Ben Carson,1.597326471,Apr 12 2015
Ben Carson,1.030993651,Apr 19 2015
Ben Carson,1.134487649,Apr 26 2015
Ben Carson,8.790098854,May 03 2015
Ben Carson,2.437211639,May 10 2015
Ben Carson,1.547008051,May 17 2015
Ben Carson,1.581803666,May 24 2015
Ben Carson,1.305610532,May 31 2015
Ben Carson,1.235848123,Jun 07 2015
Ben Carson,1.870285685,Jun 14 2015
Ben Carson,1.799263024,Jun 21 2015
Ben Carson,1.825862827,Jun 28 2015
Ben Carson,1.413167225,Jul 05 2015
Ben Carson,1.365021167,Jul 12 2015
Ben Carson,1.450627077,Jul 19 2015
Ben Carson,1.49694195,Jul 26 2015
Ben Carson,11.3891968,Aug 02 2015
Ben Carson,6.78401193,Aug 09 2015
Ben Carson,5.059877484,Aug 16 2015
Ben Carson,4.441601818,Aug 23 2015
Ben Carson,8.801127999,Aug 30 2015
Ben Carson,7.991439394,Sep 06 2015
Ben Carson,14.56876546,Sep 13 2015
Ben Carson,10.82714514,Sep 20 2015
Ben Carson,7.148230759,Sep 27 2015
Ben Carson,11.92928478,Oct 04 2015
Ben Carson,9.112210343,Oct 11 2015
Ben Carson,8.310939914,Oct 18 2015
Ben Carson,17.83599443,Oct 25 2015
Ben Carson,21.80444289,Nov 01 2015
Ben Carson,21.2122356,Nov 08 2015
Ben Carson,10.28243912,Nov 15 2015
Ben Carson,7.154440694,Nov 22 2015
Ben Carson,4.850456837,Nov 29 2015
Ben Carson,4.969231388,Dec 06 2015
Ben Carson,5.555811,Dec 13 2015
Ben Carson,3.454532971,Dec 20 2015
Ben Carson,3.286280748,Dec 27 2015
Ben Carson,3.292268575,Jan 03 2016
Ben Carson,3.486603924,Jan 10 2016
Ben Carson,4.252172786,Jan 17 2016
Ben Carson,3.929469711,Jan 24 2016
Ben Carson,7.208747889,Jan 31 2016
Ben Carson,7.368884885,Feb 07 2016
Ben Carson,5.488679604,Feb 14 2016
Ben Carson,9.379675581,Feb 21 2016
Ben Carson,14.2982669,Feb 28 2016
Ben Carson,9.143441467,Mar 06 2016
Ben Carson,4.839143147,Mar 13 2016
Ben Carson,2.341224608,Mar 20 2016
Ben Carson,1.822612126,Mar 27 2016
Chris Christie,0.344225217,Dec 28 2014
Chris Christie,4.330650968,Jan 04 2015
Chris Christie,1.704263391,Jan 11 2015
Chris Christie,0.556828642,Jan 18 2015
Chris Christie,1.242460493,Jan 25 2015
Chris Christie,1.544270395,Feb 01 2015
Chris Christie,0.662305062,Feb 08 2015
Chris Christie,0.561678545,Feb 15 2015
Chris Christie,0.907291597,Feb 22 2015
Chris Christie,0.698655696,Mar 01 2015
Chris Christie,0.593721225,Mar 08 2015
Chris Christie,0.458807647,Mar 15 2015
Chris Christie,0.535023952,Mar 22 2015
Chris Christie,0.519145593,Mar 29 2015
Chris Christie,0.573222327,Apr 05 2015
Chris Christie,1.578510987,Apr 12 2015
Chris Christie,1.097112276,Apr 19 2015
Chris Christie,0.934697023,Apr 26 2015
Chris Christie,0.801398151,May 03 2015
Chris Christie,0.972818188,May 10 2015
Chris Christie,0.710151167,May 17 2015
Chris Christie,0.661101837,May 24 2015
Chris Christie,1.772033658,May 31 2015
Chris Christie,1.6937421,Jun 07 2015
Chris Christie,1.174224098,Jun 14 2015
Chris Christie,1.079501715,Jun 21 2015
Chris Christie,4.883988414,Jun 28 2015
Chris Christie,1.317309295,Jul 05 2015
Chris Christie,0.779343139,Jul 12 2015
Chris Christie,0.841841554,Jul 19 2015
Chris Christie,0.984723143,Jul 26 2015
Chris Christie,4.462564792,Aug 02 2015
Chris Christie,1.346370358,Aug 09 2015
Chris Christie,0.884650367,Aug 16 2015
Chris Christie,1.046840843,Aug 23 2015
Chris Christie,1.344984798,Aug 30 2015
Chris Christie,0.832759592,Sep 06 2015
Chris Christie,2.939454586,Sep 13 2015
Chris Christie,1.348572249,Sep 20 2015
Chris Christie,1.153759952,Sep 27 2015
Chris Christie,0.682517348,Oct 04 2015
Chris Christie,0.665681161,Oct 11 2015
Chris Christie,0.666553142,Oct 18 2015
Chris Christie,2.342420698,Oct 25 2015
Chris Christie,2.12653973,Nov 01 2015
Chris Christie,1.717086486,Nov 08 2015
Chris Christie,1.190416168,Nov 15 2015
Chris Christie,0.686717485,Nov 22 2015
Chris Christie,1.030380207,Nov 29 2015
Chris Christie,0.825859136,Dec 06 2015
Chris Christie,2.261923612,Dec 13 2015
Chris Christie,1.080882944,Dec 20 2015
Chris Christie,0.750709137,Dec 27 2015
Chris Christie,0.998838796,Jan 03 2016
Chris Christie,1.702269957,Jan 10 2016
Chris Christie,1.849954244,Jan 17 2016
Chris Christie,2.739611498,Jan 24 2016
Chris Christie,2.266920436,Jan 31 2016
Chris Christie,9.314506852,Feb 07 2016
Chris Christie,1.650088297,Feb 14 2016
Chris Christie,5.074633589,Feb 21 2016
Chris Christie,10.94280217,Feb 28 2016
Chris Christie,2.245262994,Mar 06 2016
Chris Christie,1.847478852,Mar 13 2016
Chris Christie,0.893282068,Mar 20 2016
Chris Christie,1.478102599,Mar 27 2016
Ted Cruz,0.374675851,Dec 28 2014
Ted Cruz,0.393375079,Jan 04 2015
Ted Cruz,1.364626578,Jan 11 2015
Ted Cruz,1.035243194,Jan 18 2015
Ted Cruz,0.956445689,Jan 25 2015
Ted Cruz,0.544779243,Feb 01 2015
Ted Cruz,0.589420566,Feb 08 2015
Ted Cruz,0.459802607,Feb 15 2015
Ted Cruz,0.775416167,Feb 22 2015
Ted Cruz,0.594808669,Mar 01 2015
Ted Cruz,0.717954921,Mar 08 2015
Ted Cruz,1.408821331,Mar 15 2015
Ted Cruz,30.1152869,Mar 22 2015
Ted Cruz,3.747974585,Mar 29 2015
Ted Cruz,2.858256132,Apr 05 2015
Ted Cruz,3.808610587,Apr 12 2015
Ted Cruz,2.135055992,Apr 19 2015
Ted Cruz,1.815097435,Apr 26 2015
Ted Cruz,1.353936014,May 03 2015
Ted Cruz,1.453410876,May 10 2015
Ted Cruz,1.270902584,May 17 2015
