date,key,value
12/28/14,Jeb Bush,2.218858721
01/04/15,Jeb Bush,1.258580266
01/11/15,Jeb Bush,1.099873794
01/18/15,Jeb Bush,1.049293859
01/25/15,Jeb Bush,1.539174627
02/01/15,Jeb Bush,1.417784199
02/08/15,Jeb Bush,1.330434308
02/15/15,Jeb Bush,1.885096884
02/22/15,Jeb Bush,2.369082371
03/01/15,Jeb Bush,1.338637478
03/08/15,Jeb Bush,1.156639827
03/15/15,Jeb Bush,1.042246111
03/22/15,Jeb Bush,1.340721537
03/29/15,Jeb Bush,0.922637792
04/05/15,Jeb Bush,1.783673764
04/12/15,Jeb Bush,2.618146258
04/19/15,Jeb Bush,1.532844468
04/26/15,Jeb Bush,1.227419299
05/03/15,Jeb Bush,1.251805266
05/10/15,Jeb Bush,3.050528693
05/17/15,Jeb Bush,1.707224205
05/24/15,Jeb Bush,1.108670472
05/31/15,Jeb Bush,1.298096055
06/07/15,Jeb Bush,1.830547763
06/14/15,Jeb Bush,13.47668227
06/21/15,Jeb Bush,2.871834274
06/28/15,Jeb Bush,2.698326755
07/05/15,Jeb Bush,4.35414743
07/12/15,Jeb Bush,2.477446972
07/19/15,Jeb Bush,2.05166721
07/26/15,Jeb Bush,2.068874513
08/02/15,Jeb Bush,6.239477941
08/09/15,Jeb Bush,3.305393903
08/16/15,Jeb Bush,3.08395749
08/23/15,Jeb Bush,3.800043783
08/30/15,Jeb Bush,3.360533348
09/06/15,Jeb Bush,3.578091619
09/13/15,Jeb Bush,9.336552516
09/20/15,Jeb Bush,3.28356464
09/27/15,Jeb Bush,2.985747823
10/04/15,Jeb Bush,1.974584218
10/11/15,Jeb Bush,2.178592426
10/18/15,Jeb Bush,2.770575557
10/25/15,Jeb Bush,6.104815
11/01/15,Jeb Bush,4.551232373
11/08/15,Jeb Bush,3.279908403
11/15/15,Jeb Bush,2.179406258
11/22/15,Jeb Bush,1.399118256
11/29/15,Jeb Bush,1.463235953
12/06/15,Jeb Bush,3.055278602
12/13/15,Jeb Bush,4.689247653
12/20/15,Jeb Bush,2.686285231
12/27/15,Jeb Bush,2.167109923
01/03/16,Jeb Bush,2.49171483
01/10/16,Jeb Bush,2.876429972
01/17/16,Jeb Bush,2.772133229
01/24/16,Jeb Bush,3.300277271
01/31/16,Jeb Bush,6.08634722
02/07/16,Jeb Bush,7.190088651
02/14/16,Jeb Bush,27.27159852
02/21/16,Jeb Bush,16.68593989
02/28/16,Jeb Bush,3.456597914
03/06/16,Jeb Bush,2.421675991
03/13/16,Jeb Bush,1.894742158
03/20/16,Jeb Bush,1.493805559
03/27/16,Jeb Bush,0.969543119
04/03/16,Jeb Bush,0.812780291
12/28/14,Ben Carson,0.870783394
01/04/15,Ben Carson,0.85636795
01/11/15,Ben Carson,0.976932202
01/18/15,Ben Carson,1.054531295
01/25/15,Ben Carson,1.353064375
02/01/15,Ben Carson,1.333295481
02/08/15,Ben Carson,1.77062273
02/15/15,Ben Carson,1.238053243
02/22/15,Ben Carson,1.641326153
03/01/15,Ben Carson,3.833383332
03/08/15,Ben Carson,1.508286047
03/15/15,Ben Carson,0.996337723
03/22/15,Ben Carson,1.247983438
03/29/15,Ben Carson,0.791814761
04/05/15,Ben Carson,1.000939548
04/12/15,Ben Carson,1.60456923
04/19/15,Ben Carson,1.03535196
04/26/15,Ben Carson,1.124189896
05/03/15,Ben Carson,8.737987551
05/10/15,Ben Carson,2.457624271
05/17/15,Ben Carson,1.566104638
05/24/15,Ben Carson,1.576774872
05/31/15,Ben Carson,1.293303804
06/07/15,Ben Carson,1.245071845
06/14/15,Ben Carson,1.832478232
06/21/15,Ben Carson,1.757570958
06/28/15,Ben Carson,1.7740947
07/05/15,Ben Carson,1.394248014
07/12/15,Ben Carson,1.397705615
07/19/15,Ben Carson,1.460716301
07/26/15,Ben Carson,1.529877097
08/02/15,Ben Carson,11.18617183
08/09/15,Ben Carson,6.649312693
08/16/15,Ben Carson,4.957045404
08/23/15,Ben Carson,4.348440729
08/30/15,Ben Carson,8.780581588
09/06/15,Ben Carson,7.99724055
09/13/15,Ben Carson,14.29124708
09/20/15,Ben Carson,10.73616704
09/27/15,Ben Carson,7.155262451
10/04/15,Ben Carson,11.72209862
10/11/15,Ben Carson,9.006427704
10/18/15,Ben Carson,8.280568686
10/25/15,Ben Carson,17.7081401
11/01/15,Ben Carson,21.80693148
11/08/15,Ben Carson,21.08900482
11/15/15,Ben Carson,10.01059899
11/22/15,Ben Carson,7.085736575
11/29/15,Ben Carson,4.784764132
12/06/15,Ben Carson,4.957794962
12/13/15,Ben Carson,5.490859396
12/20/15,Ben Carson,3.371813854
12/27/15,Ben Carson,3.266852492
01/03/16,Ben Carson,3.249865015
01/10/16,Ben Carson,3.547989136
01/17/16,Ben Carson,4.252336338
01/24/16,Ben Carson,3.89070784
